t,x,y,z
44.104,-0.146968401653,-0.278503065982,8.74593985867
44.112,-0.157489491156,-0.29891262245,8.55969520433
44.12,-0.168801531443,-0.321014117522,8.37747275323
44.128,-0.180976590008,-0.344944122896,8.19919444276
44.136,-0.194091893855,-0.370852013534,8.02478515092
44.144,-0.2082304409,-0.398900966877,7.85417284909
44.152,-0.223481642395,-0.429269069004,7.68728878893
44.16,-0.239942002445,-0.462150534843,7.52406772921
44.168,-0.257715840768,-0.497757050379,7.36444820964
44.176,-0.276916065009,-0.536319245606,7.20837287968
44.184,-0.297664999096,-0.578088307864,7.0557888921
44.192,-0.320095274379,-0.623337746042,6.90664837258
44.2,-0.344350790608,-0.672365317034,6.76090897885
44.208,-0.370587754137,-0.725495126687,6.61853456509
44.216,-0.398975801126,-0.783079918347,6.47949597048
44.224,-0.429699213971,-0.845503562893,6.34377195375
44.232,-0.462958239589,-0.913183764842,6.21135030003
44.24,-0.498970518723,-0.986574999709,6.08222913062
44.248,-0.537972635864,-1.06617169814,5.95641845204
44.256,-0.580221799899,-1.15251169245,5.8339419872
44.264,-0.625997665992,-1.24617994081,5.71483933934
44.272,-0.675604309644,-1.34781254361,5.59916854814
44.28,-0.729372364097,-1.45810106477,5.48700910849
44.288,-0.787661332423,-1.5777971682,5.37846553453
44.296,-0.850862085546,-1.70771757592,5.27367156642
44.304,-0.919399557026,-1.84874934843,5.17279513435
44.312,-0.993735644661,-2.00185548024,5.07604421436
44.32,-1.07437232757,-2.1680807926,4.9836737336
44.328,-1.16185500531,-2.34855809076,4.89599370985
44.336,-1.25677606234,-2.54451453348,4.81337884087
44.344,-1.35977865698,-2.75727813646,4.73627979495
44.352,-1.47156072735,-2.98828429695,4.66523649432
44.36,-1.59287919885,-3.23908218219,4.60089372903
44.368,-1.72455436612,-3.51134076574,4.54401948926
44.376,-1.86747440723,-3.80685422013,4.49552646034
44.384,-2.0225999682,-4.12754627754,4.4564971838
44.392,-2.19096872963,-4.47547304478,4.42821345046
44.4,-2.37369983319,-4.85282360057,4.41219055245
44.408,-2.57199800179,-5.26191750096,4.41021707744
44.416,-2.78715713076,-5.70519806467,4.42440097164
44.424,-3.02056305455,-6.18521999123,4.4572226182
44.432,-3.27369510187,-6.7046294691,4.51159565825
44.44,-3.54812593529,-7.26613444308,4.59093620009
44.448,-3.84551902541,-7.87246211725,4.69924088716
44.456,-4.16762292788,-8.52630005854,4.84117398162
44.464,-4.51626130727,-9.23021642961,5.02216310972
44.472,-4.89331737843,-9.98655392195,5.24850252704
44.48,-5.30071110848,-10.7972909023,5.52746159322
44.488,-5.74036713577,-11.6638621815,5.86739446677
44.496,-6.21417091869,-12.5869307662,6.27784468066
44.504,-6.72391013517,-13.5661011401,6.76963505651
44.512,-7.27119783551,-14.5995643234,7.35492916129
44.52,-7.85737335146,-15.6836656181,8.04724502984
44.528,-8.48337655625,-16.8123881948,8.8613950609
44.536,-9.14959087598,-17.9767503989,9.81331790809
44.544,-9.85565065017,-19.1641230017,10.9197592073
44.552,-10.6002092898,-20.3574860137,12.1977490249
44.56,-11.3806665346,-21.5346646312,13.663816723
44.568,-12.1928564112,-22.6676117567,15.3328814466
44.576,-13.0307027619,-23.721840856,17.216763076
44.584,-13.8858569629,-24.6561564212,19.3222803485
44.592,-14.7473430597,-25.4228754929,21.6489473162
44.6,-15.6012490076,-25.9687729762,24.1863537712
44.608,-16.4305182208,-26.2369996562,26.9114242984
44.616,-17.2149112126,-26.1701916311,29.7858912715
44.624,-17.9312190185,-25.7148857057,32.7544724623
44.632,-18.5538127226,-24.8271529277,35.7443767894
44.64,-19.0555996402,-23.4790555413,38.6668121555
44.648,-19.4094194921,-21.665152105,41.4210625018
44.656,-19.5898492277,-19.4079067476,43.9013715419
44.664,-19.5752961582,-16.7606420824,46.0063028709
44.672,-19.3501598597,-13.8067745171,47.6495212231
44.68,-18.9067599876,-10.6545997419,48.770256636
44.688,-18.2466927956,-7.4278285163,49.3413518074
44.696,-17.3813221347,-4.25318396112,49.3730013923
44.704,-16.331239121,-1.2472784072,48.9111380872
44.712,-15.1247153386,1.49469431894,48.0306948572
44.72,-13.7953752944,3.90636663901,46.8252368599
44.728,-12.3794625221,5.95269262406,45.3952411387
44.736,-10.913124762,7.62779416693,43.8373467188
44.744,-9.43008857141,8.9494301922,42.2362737489
44.752,-7.95996232816,9.95181329131,40.6601491381
44.76,-6.52724954933,10.6783816414,39.1590682009
44.768,-5.15101928615,11.1756508149,37.7661304864
44.776,-3.84509465945,11.4886848116,36.4999791177
44.784,-2.61858857414,11.6582384147,35.3679605532
44.792,-1.47662515841,11.7193207886,34.3692616351
44.8,-0.421118390757,11.7008066143,33.4976475593
44.808,0.548480449009,11.6257226467,32.7436438515
44.816,1.43451803613,11.5119043194,32.0961522627
44.824,2.24057994824,11.3728032761,31.5435702006
44.832,2.97104092201,11.2183061032,31.0745141167
44.84,3.63071657151,11.0554862015,30.678248429
44.848,4.22460310486,10.889253284,30.344908048
44.856,4.75768981166,10.722891473,30.0655841139
44.864,5.23482958999,10.5584917037,29.832324471
44.872,5.66065441621,10.3972910984,29.6380850752
44.88,6.03952472184,10.2399342193,29.4766565891
44.888,6.37550371639,10.086670766,29.3425816562
44.896,6.67234957742,9.93750271187,29.2310721945
44.904,6.93352003422,9.79229186129,29.137931898
44.912,7.1621851881,9.65083680082,29.0594864457
44.92,7.36124546238,9.51292640799,28.9925222352
44.928,7.53335239651,9.37837555117,28.9342334721
44.936,7.68093063259,9.24704736832,28.8821769094
44.944,7.80619992515,9.11886552314,28.8342332828
44.952,7.91119637087,8.99381906541,28.7885744199
44.96,7.99779232886,8.87196192593,28.7436350331
44.968,8.06771470726,8.7534086189,28.6980883014
44.976,8.12256144331,8.63832737323,28.6508244619
44.984,8.1638161159,8.52693164316,28.6009317611
44.992,8.1928607102,8.41947073825,28.5476792381
45.0,8.21098661183,8.31622014668,28.4905009289
45.008,8.21940394763,8.21747199302,28.428981179
45.016,8.21924941599,8.12352596347,28.3628408432
45.024,8.21159276505,8.0346809422,28.2919242193
45.032,8.1974420837,7.95122752748,28.2161866241
45.04,8.17774807074,7.87344153322,28.1356825616
45.048,8.15340744287,7.80157852833,28.0505544697
45.056,8.12526563311,7.73586942194,27.9610220488
45.064,8.09411892049,7.67651706588,27.8673721926
45.072,8.06071611743,7.6236938165,27.7699495456
45.08,8.02575992724,7.57753997569,27.6691477093
45.088,7.98990806833,7.53816301438,27.5654011184
45.096,7.95377424635,7.50563747157,27.4591775961
45.104,7.91792904052,7.48000541637,27.3509715926
45.112,7.88290075601,7.4612773597,27.2412980951
45.12,7.84917628108,7.44943350488,27.1306871935
45.128,7.81720197569,7.44442523267,27.0196792708
45.136,7.78738460779,7.44617672391,26.9088207816
45.144,7.76009234454,7.45458663356,26.7986605747
45.152,7.73565579814,7.46952974041,26.6897467083
45.16,7.71436911993,7.49085850901,26.5826237043
45.168,7.696491132,7.51840451161,26.4778301839
45.176,7.68224648187,7.55197967023,26.3758968251
45.184,7.67182680436,7.59137728971,26.2773445853
45.192,7.66539187294,7.63637286333,26.1826831274
45.2,7.66307072361,7.68672464267,26.0924093964
45.208,7.66496273437,7.74217397198,26.0070062899
45.216,7.67113864507,7.80244539599,25.9269413718
45.224,7.68164150442,7.86724655724,25.8526655816
45.232,7.6964875329,7.93626790596,25.7846118944
45.24,7.71566689356,8.00918225155,25.7231938906
45.248,7.7391443652,8.0856441903,25.6688042004
45.256,7.76685991601,8.16528944913,25.6218127905
45.264,7.79872917876,8.24773418968,25.5825650669
45.272,7.83464383237,8.3325743215,25.5513797717
45.28,7.87447189799,8.41938487689,25.5285466603
45.288,7.91805796142,8.50771950346,25.5143239486
45.296,7.96522333711,8.59711013355,25.5089355302
45.304,8.01576619268,8.68706689194,25.5125679687
45.312,8.06946165597,8.77707830527,25.5253672827
45.32,8.12606193042,8.86661187686,25.5474355471
45.328,8.1852964471,8.95511509084,25.5788273471
45.336,8.24687208492,9.04201690697,25.6195461335
45.344,8.31047349283,9.12672980461,25.6695405374
45.352,8.37576354969,9.20865242811,25.7287007173
45.36,8.44238399898,9.28717287828,25.7968548234
45.368,8.50995629603,9.36167268393,25.8737656764
45.376,8.57808270509,9.43153147405,25.9591277696
45.384,8.64634768247,9.49613235489,26.0525647132
45.392,8.71431957902,9.5548679769,26.1536272496
45.4,8.78155269183,9.60714725427,26.2617919711
45.408,8.84758968921,9.6524026753,26.3764608749
45.416,8.91196442649,9.69009811494,26.4969618884
45.424,8.97420516146,9.71973703325,26.622550487
45.432,9.03383816839,9.74087091507,26.7524125163
45.44,9.09039173811,9.75310777939,26.8856683085
45.448,9.14340053864,9.75612056176,27.0213781571
45.456,9.19241029768,9.7496551526,27.1585491808
45.464,9.23698275334,9.73353785866,27.2961435708
45.472,9.27670080586,9.70768204708,27.4330881687
45.48,9.3111737886,9.67209373166,27.5682852807
45.488,9.34004276427,9.62687587153,27.7006245797
45.496,9.36298574138,9.57223117271,27.8289959032
45.504,9.37972269755,9.50846321499,27.9523027079
45.512,9.39002029107,9.43597576808,28.069475903
45.52,9.393696141,9.35527021213,28.1794877545
45.528,9.39062255854,9.26694103631,28.2813655276
45.536,9.38072961988,9.17166945262,28.3742045327
45.544,9.36400748247,9.07021522794,28.4571802393
45.552,9.34050786265,8.96340690162,28.5295591453
45.56,9.31034461266,8.85213061597,28.5907081222
